Data;ISPB;Nome;NaturezaUsuario;TipoChave;qtdChaves
31/05/2023;16695922;ID CTVM;PF;Aleatoria;5
30/04/2023;2448839;SICOOB CREDIUNIAO;PJ;e-mail;31
28/02/2023;7440317;CC SICOOB CREDMED;PJ;Celular;1
31/05/2023;58022195;CECM EMPR EMP ZILLO LORENZETTI;PF;Celular;239
31/05/2023;66262643;CCLA DE POMPEU LTDA;PF;Celular;2726
30/06/2023;4120633;SICOOB EMPRESAS RJ;PF;e-mail;606
31/07/2023;78825023;CCLAA OESTE CATARINENSE;PF;e-mail;1384
31/05/2023;5351887;ZEMA CFI S/A;PF;CPF;295
30/04/2023;4261151;COOP CRESOL TRANSFORMACAO;PF;e-mail;601
31/08/2023;95424891;COOP SICREDI VALE DO RIO PARDO;PJ;Celular;679
31/08/2023;22896431;PICPAY;PJ;Celular;4254
28/02/2023;259231;CCLA SICOOB UNIMAIS METROPOLITANA;PJ;CNPJ;1971
31/01/2023;11760553;GAZINCRED SA SCFI;PF;e-mail;8
28/02/2023;1526924;UNICRED HORIZONTES;PJ;CNPJ;249
31/07/2023;5220232;COOP CRESOL CONEXOES;PF;Celular;2
30/04/2023;40654622;TRINUS SCD SA;PF;CPF;5
31/08/2023;3412878;CC CREDIRAMA;PJ;e-mail;89
28/02/2023;1760242;CCLA DE BH E CIDADES POLO DE MG;PJ;e-mail;572
31/05/2023;70116611;SICOOB CENTRAL NE;PJ;e-mail;2
28/02/2023;3485130;COOP CRESOL ENCOSTAS DA SERRA GERAL;PJ;Celular;246
31/05/2023;1090027;CECMM CATEG AFINS-UNICRED MULTIPLO VALOR;PJ;Aleatoria;77
31/01/2023;84974278;COOP SICREDI IGUACU PR/SC/SP;PF;Celular;10329
28/02/2023;8357240;BCO CSF SA;PJ;Aleatoria;1
28/02/2023;7215632;COOP CRESOL ALTERNATIVA;PJ;Celular;217
28/02/2023;2587492;CCLA URUBICI;PF;e-mail;598
31/03/2023;2414044;CECM EMPR INST ENS SUP SUL MG;PF;Celular;1
31/03/2023;7206072;COOP SICREDI NOVOS HORIZONTES;PJ;Celular;866
30/04/2023;66262643;CCLA DE POMPEU LTDA;PF;Celular;2682
30/06/2023;16501555;STONE IP SA;PF;Aleatoria;669923
31/05/2023;40867163;N26 SCD;PF;Celular;18995
31/01/2023;40867163;N26 SCD;PF;e-mail;8577
30/06/2023;24799033;CCLA VALE DO PARANAAçBA;PJ;Celular;574
31/05/2023;5494591;COOP CRESOL NASCENTE;PF;Celular;1186
30/04/2023;694389;CCLA SICOOB CREDICARU SC/RS;PJ;e-mail;281
28/02/2023;82527557;COOP SICREDI FRONTEIR PR/SC/SP;PJ;CNPJ;8740
30/04/2023;41805003;CCLA ALTO SAO FRANCISCO;PF;Aleatoria;1003
31/07/2023;3793242;COOP SICREDI SUL SC;PF;Aleatoria;7274
31/03/2023;5856736;SICOOB EMPRESARIAL;PJ;e-mail;608
31/03/2023;9488496;COOP CRESOL SAO JOAO DO SUL;PJ;Celular;54
